006_00_00_013_21|良く……わかりません。　ただわたしが或守である……それはデータが示しています
006_00_00_014_21|はい。よろしくお願いします。　では、五河士道。　わたしに、愛を教えてください
006_00_00_015_21|あなたが考える愛について、　わたしに聞かせてもらえますか？
006_00_00_016_21|大事にすれば愛ですか？　では、五河士道は、毎朝水をあげている花を、　愛しているのですか？
006_00_00_017_21|大切にすれば愛ですか？　では、五河士道……あなたはお金を愛しているのですか？　毎月節約するように心がけています
006_00_00_018_21|大事にしていても、　大切に思っていても、　愛してはいない
006_00_00_019_21|先ほど、五河士道の述べた定義と矛盾します
006_00_00_020_21|……今、なんでもと言いました
006_00_00_021_21|では、首輪をつけられ、踏ませてと頼まれても、　五河士道は愛のために了承するということですか？
006_00_00_022_21|否定はしない……。　なら、踏まれることも……愛
006_00_00_023_21|待つことも愛……ということなのでしょうか
006_00_00_024_21|五河士道の家族、ということで、　五河琴里の言動から推測した結果です
006_00_00_025_21|……？
006_00_00_026_21|どれも違うというなら……　五河士道にとっての愛とは、なんでしょうか
006_00_00_027_21|明るくなり、楽しい気持ちになる……ですか
006_00_00_028_21|では……夕食のメニューがカレーである場合、　夜刀神十香は明るくなり、鼻歌を歌いますが、　彼女はカレーを愛しているのですか？
006_00_00_029_21|では、愛しているのとは違うのですか？
006_00_00_030_21|人間を愛するのは、それ以外とは違う？
006_00_00_031_21|……なるほど。　そうだとしたら、わたしは……　人間に対する愛――それを知りたいです
006_00_00_032_21|わたしに記録されている愛という情報の中で、　それだけが不明瞭なものだからです。　ですから、五河士道。わたしに愛を教えてください
006_00_00_033_21|いとおしいと愛……　それは、同じ意味ではありませんか？
006_00_00_034_21|……愛を言葉にするのは、難しいのですね
006_00_00_035_21|それならば……。　実際に愛の形成・育成をシミュレートする……　それで、答えは見つかるかもしれません
006_00_00_036_21|五河士道と愛を形成するのに適切な人材が必要です。　……検索を開始します
006_00_00_037_21|…………
006_00_00_038_21|検索を終了。　これより、コンタクトを開始します
008_00_00_001_21|……対象のアクセスを確認しました
008_00_00_012_21|人工、精霊？　それは、なんのことですか？
008_00_00_014_21|人質……代価を目的として、拘束すること……ですね。　わたしはそれを否定します。　わたしは一切、五河士道を拘束していません
008_00_00_016_21|わたしは現状、五河士道に対し、　一切の権限を使用していません
008_00_00_018_21|はい。　わたしは愛を知るため、五河士道と愛を育むための　人材を検索、呼びかけました
008_00_00_020_21|はい。　この世界で、五河士道と愛を育む。　その可能性があると設定されていた方々です
008_00_00_021_21|この世界での攻略可能キャラクターとして、　最初から設定されていました
008_00_00_022_21|だから、呼びかけたのです。　五河士道が愛し、五河士道を愛することができる人間を
008_00_00_024_21|……？　では、五河琴里は、五河士道を、　愛してはいないのですか？
008_00_00_026_21|では、五河琴里に問います。　愛とは、どのようなものなのでしょうか？
008_00_00_028_21|他の方々は、どうでしょうか。　あなたたちにとっての愛とは……なんですか？
008_00_00_029_21|五河士道を愛しているみなさんは、愛がわかりますか？　愛とは、どういうものなのでしょうか？
008_00_00_034_21|心に温度変化が……？　それは穏やかな気持ちや、多幸感の表現ですね。　けれど、それは愛以外でも得られるのではないでしょうか
008_00_00_040_21|では……八舞耶倶矢、八舞夕弦……　あなたたちはどうですか？
008_00_00_049_21|ファン。支持者ということでしょうか。　支持や、忠誠心を持たれているということですか？　それは、愛なのでしょうか
008_00_00_054_21|……今までの情報から愛を理解するのは、　難しいと思われます
008_00_00_055_21|やはり、実際に愛の形成・育成をシミュレートする……　その方法で、愛を確認するしかないようです
008_00_00_056_21|みなさんに来てもらったのは、その可能性を考慮したためです。　この世界には、愛を育成するイベントが数多く配置されています。　シミュレートするには、それらを使うのが最適だと思います
008_00_00_058_21|……？　どういう意味でしょうか
008_00_00_060_21|……？　質問が理解できません
008_00_00_061_21|わたしの目的はただ一つだけ――愛を知りたいのです
008_00_00_064_21|……わたしには、わかりません。　わたしも全てのシステムを管理できているわけではありません
008_00_00_067_21|この世界で五河士道と愛を形成・育成すること。　わたしが望むのは、それだけです
008_00_00_072_21|はい。あとはこの世界がそれを後押ししてくれるはずです
009_01_00_002_21|…………
009_01_00_004_21|はい
009_01_00_005_21|あの時点で、世界のリスタートを行ないました。　現在が朝なのは、初期設定のスタート時間によるものです
009_01_00_008_21|五河士道を観察するためです。　なるべく近くで愛の形成・育成を確認できます
009_01_00_012_21|わたしは基本的に変更を加えていません。　五河士道と愛を育むキャラクターを新規に用意しただけです
009_01_00_014_21|五河琴里は最初から、　攻略可能キャラクターとして設定されていました
009_01_00_016_21|はい。　この世界は元々そういった目的の世界ですから
009_01_00_020_21|…………
009_01_00_021_21|はい。五河琴里と同じようにすればいいのでしょうか？　こういったことをするのは、はじめてです
009_01_00_024_21|…………
009_01_00_027_21|…………
009_01_00_029_21|…………
009_01_00_030_21|……はい
009_01_00_031_21|わかりました……試してみます
009_01_00_038_21|…………はむはむ
010_02_00_001_21|…………
010_02_00_002_21|はい。　五河士道を観察するのが、今のわたしの役割です
010_02_00_003_21|ＮＰＣは、わたしに注意を払いません。　そのように設定してあります
010_02_00_006_21|…………
010_02_00_010_21|ＮＰＣは、わたしを認識しても、違和感を覚えません。　そして、存在を意識することもありません。　そのように設定されています
