017_04_21_031_21|わかりました……士道
017_04_21_032_21|……もう少し、星を見ていたいです。　いいですか？
017_04_21_033_21|…………
017_04_21_034_21|はい。　料理の物量が膨大だったので、　消化の助けになるものを、と考えました
017_04_21_035_21|優しい……味、ですか……？
017_04_21_036_21|わたしを……選んだ？
017_04_21_037_21|わたしを……選んだ？　五河士道が……わたし、を？
017_04_21_038_21|いえ……選ばれるなんて、考えていませんでした
017_04_21_039_21|……いえ。　……なんだか、不思議な気分です
017_04_21_040_21|……五河士道
017_04_21_041_21|……星が、綺麗です
017_04_21_042_21|……はい
018_01_00_005_21|……すぅ。……すぅ
018_01_00_014_21|…………ん。　……うぅ…………ふぅ。　……士道、おはようございます
018_01_00_015_21|はい、なんでしょうか
018_01_00_016_21|何故……でしょうか？
018_01_00_018_21|はい。わたしが士道のベッドに自分で入りました。　自発的な行動です
018_01_00_020_21|うらやま……しい。　五河士道を愛している貴方たちは、　五河士道と床を共にしたいと考えますか？
018_01_00_026_21|……そうなのでしょうか。　愛に関連する行動をシミュレートした……のではないでしょうか
018_01_00_028_21|なぜだか、よくわからないのです
018_01_00_030_21|温かかった……です。　……後は、よくわかりません。　でも、不快ではありませんでした
018_01_00_032_21|わたしの行動理由は不明でした。　もしかすると……何らかのバグによるものかもしれません
018_01_00_033_21|……では、わたしも一階に行っています
018_01_00_043_21|士道……今日は、わたしも学校での活動に参加します
018_01_00_044_21|はい。ＮＰＣはわたしを認識しないよう設定してありました。　けれど、今日からは設定を変えてみます
018_01_00_045_21|ですが、生徒として参加するのは、　観測に余計な干渉を及ぼす可能性があります。　あくまで見学者という設定に更新しました
018_01_00_046_21|違った視点から観察することによって、　今までと違った結果を引き起こせると判断したためです
018_01_00_047_21|星の位置や等級を知っていたとしても、　実際の夜空はその知識とは違いました
018_01_00_048_21|この学園生活という場においても、　そういった実際のシミュレートが必要です
018_01_00_058_21|殿町、馬鹿と呼べばいいですか？　わかりました
018_01_00_069_21|はい……なんですか？
018_01_00_071_21|それが有用だと判断できた場合、ご協力します
018_01_00_077_21|……士道のいない学園生活を観察することにも、　意味があるかもしれません
018_01_00_078_21|どちらでも、ですか……
018_01_00_079_21|……はい。　では、そうします
018_01_00_081_21|そうですね。　では、隣に向かうことにします
019_02_91_001_21|……どうしましたか、士道。　確か授業中に私語は慎んだほうがよいのでは
019_02_91_002_21|質問ですか？　現在までの内容で不明点はありません
019_02_91_003_21|それは一理ありますね。　わかりました。質問してみます
019_02_91_004_21|先生、授業の内容について質問があります
019_02_91_006_21|先程の英文ですが、誤用があるのではないでしょうか？
019_02_91_013_21|士道、今の質問に問題がありましたか？
019_02_91_014_21|わかりました……。　改善してみます
019_02_91_015_21|すみません、先生。先ほどの質問ですが、　使用している教材を変更してはどうでしょうか。　現在使用しているものは海外では版が一つ古――
019_02_91_016_21|こうすれば問題が解決すると考えたのですが……　問題でしょうか？
019_02_91_017_21|真実を告げてはならないなんて……　授業は難しいですね
019_02_91_018_21|わかりました
019_02_91_023_21|何か用でしょうか？
019_02_91_025_21|その質疑は隣のページに解答が書いてあります
019_02_91_027_21|まず、この文法が……
019_02_91_031_21|士道、それに十香……　先程はありがとうございました。　お陰で授業のあり方を少し知ることができました
019_02_91_033_21|はい。それでは士道、　少し気になることができましたので、しばらく教室を離れます
019_02_91_034_21|はい、ありがとうございます。　それでは……
019_02_91_047_21|士道、話があります
019_02_91_048_21|少し気になることができましたので、　しばらく教室を離れます
019_02_91_055_21|なんでしょうか？
019_02_91_056_21|データベースから現状の問題点について、検索を行いました
019_02_91_057_21|どういうことですか？
019_02_91_058_21|……わかりました。　士道の言う通りにやってみます
019_02_91_063_21|士道、いいですか？
019_02_91_064_21|少し気になることができましたので、しばらく教室を離れます
019_02_91_065_21|はい、ありがとうございます。　それでは……
019_02_91_076_21|士道……先程の件ですか？
019_02_91_077_21|……わかりました
019_02_91_078_21|……それは、どういうことでしょうか？
019_02_91_079_21|確かにそうですね。　……やってみます
